,Code,Title
148,1A95.Z,"Anogenital warts, unspecified"
149,1A9Y,Other specified predominantly sexually transmitted infections
150,1A9Z,"Predominantly sexually transmitted infections, unspecified"
153,1B10,Tuberculosis of the respiratory system
154,1B10.0,"Respiratory tuberculosis, confirmed"
155,1B10.1,"Respiratory tuberculosis, not confirmed"
156,1B10.Z,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation"
157,1B11,Tuberculosis of the nervous system
158,1B11.0,Tuberculous meningitis
159,1B11.1,Tuberculous meningoencephalitis
160,1B11.2,Meningeal tuberculoma
161,1B11.3,Tuberculous granuloma of brain
162,1B11.Y,Other tuberculosis of nervous system
163,1B11.Z,"Tuberculosis of the nervous system, unspecified"
164,1B12,Tuberculosis of other systems and organs
165,1B12.0,Tuberculosis of heart
166,1B12.1,Tuberculosis of eye
167,1B12.2,Tuberculosis of ear
168,1B12.3,Tuberculosis of endocrine glands
169,1B12.4,Tuberculosis of the musculoskeletal system
170,1B12.40,Tuberculosis of bones or joints
171,1B12.41,Tuberculous myositis
172,1B12.4Y,Tuberculosis of other specified part of the musculoskeletal system
173,1B12.4Z,"Tuberculosis of the musculoskeletal system, unspecified"
174,1B12.5,Tuberculosis of the genitourinary system
175,1B12.6,Tuberculous peripheral lymphadenopathy
176,1B12.7,Tuberculosis of the digestive system
177,1B12.8,Cutaneous tuberculosis
178,1B12.Y,Tuberculosis of other specified organ or site
179,1B13,Miliary tuberculosis
180,1B13.0,Acute miliary tuberculosis of a single specified site
181,1B13.1,Acute miliary tuberculosis of multiple sites
182,1B13.2,"Acute miliary tuberculosis, unspecified site"
183,1B13.Y,Other specified miliary tuberculosis
184,1B13.Z,"Miliary tuberculosis, unspecified"
185,1B14,Latent tuberculosis
186,1B1Y,Other specified tuberculosis
187,1B1Z,"Tuberculosis, unspecified"
188,1B20,Leprosy
189,1B20.0,Paucibacillary leprosy
190,1B20.1,Multibacillary leprosy
191,1B20.2,Leprosy reactions
192,1B20.20,Type I leprosy reaction
193,1B20.21,Type II leprosy reaction
194,1B20.3,Complications of leprosy
195,1B20.Z,"Leprosy, unspecified"
196,1B21,Infections due to non-tuberculous mycobacteria
197,1B21.0,Pulmonary infection due to non-tuberculous mycobacterium
198,1B21.1,Non-tuberculous mycobacterial lymphadenitis
199,1B21.2,Cutaneous non-tuberculous mycobacterial infection
200,1B21.20,Mycobacterium ulcerans infection
201,1B21.2Y,Cutaneous infection due to other specified non-tuberculous mycobacteria
202,1B21.2Z,Cutaneous infection due to unspecified non-tuberculous mycobacteria
203,1B21.3,Disseminated non-tuberculous mycobacterial infection
204,1B21.4,Gastrointestinal non-tuberculous mycobacterial infection
205,1B21.Y,Non-tuberculous mycobacterial infection of other specified site
